지역구,행정구역,X2,X3,X4,X5,X6,X7,X8,X9,x10,x11,x12,x13,Degree
강남구,개포1동,806,194,1096,49,75,16,25,0,4,0,0,1,1
강남구,개포2동,624,690,3032,120,295,119,360,8,9,3,1,2,2
강남구,개포4동,1939,2034,11667,705,713,205,637,10,19,6,4,3,3
강남구,논현1동,6619,5269,40662,1309,2328,779,3858,18,100,12,10,6,4
강남구,논현2동,4246,5349,58471,1157,2344,886,4344,15,131,30,6,6,4
강남구,대치1동,389,1098,6938,162,588,155,959,10,18,12,5,7,4
강남구,대치2동,1605,4141,62562,1062,1794,522,2764,16,88,13,4,9,2
강남구,대치4동,3958,3639,28207,710,1618,686,3245,25,101,25,8,9,2
강남구,도곡1동,1726,1527,17284,339,669,225,1025,8,40,9,2,3,2
강남구,도곡2동,1365,1825,21955,475,747,255,1386,4,39,13,2,6,2
강남구,삼성1동,1289,3921,61996,1323,1284,648,5998,14,88,24,3,7,4
강남구,삼성2동,3908,3610,40771,730,1585,488,2301,17,73,19,3,4,4
강남구,세곡동,4186,910,5798,244,341,172,641,15,32,6,2,8,3
강남구,수서동,2716,1445,19272,482,475,198,1045,9,28,9,2,3,3
강남구,신사동,2042,4195,26876,1065,1758,783,4308,16,127,34,5,4,4
강남구,압구정동,1751,4060,28429,1170,1658,728,4150,13,90,28,6,3,1
강남구,역삼1동,11588,15733,156652,3374,7328,2390,13494,56,340,50,29,14,4
강남구,역삼2동,3957,3255,38543,670,1351,491,1929,16,103,11,6,7,2
강남구,일원1동,2442,861,5483,193,355,181,563,9,21,3,8,2,2
강남구,일원2동,1631,573,8953,164,233,73,203,2,8,3,1,4,2
강남구,일원본동,906,457,9629,94,224,52,491,2,11,6,1,5,3
강남구,청담동,3034,4253,37515,1100,1676,678,4640,12,71,27,2,5,2
강동구,강일동,1704,627,17732,118,297,94,510,7,10,10,4,2,3
강동구,고덕1동,1128,552,2284,110,218,95,250,6,15,9,1,3,1
강동구,고덕2동,1100,413,1735,115,125,87,234,9,6,1,1,3,1
강동구,길동,5567,3393,17878,872,1067,792,2579,27,61,22,10,9,4
강동구,둔촌1동,45,18,340,8,5,0,0,0,0,0,0,0,1
강동구,둔촌2동,2148,1354,9471,333,487,245,822,11,36,7,8,6,4
강동구,명일1동,1246,1527,6405,439,565,336,1039,12,43,14,6,7,4
강동구,명일2동,547,1024,4209,261,470,150,666,6,19,13,9,3,3
강동구,상일동,742,695,5264,170,206,161,499,8,12,2,2,1,1
강동구,성내1동,1572,1920,19353,535,610,316,1012,5,59,9,1,5,2
강동구,성내2동,4360,1713,7283,418,575,373,1008,21,39,26,9,3,3
강동구,성내3동,2610,2244,10221,581,757,490,1464,19,58,22,12,7,4
강동구,암사1동,4256,1484,5324,388,469,305,770,14,27,16,8,8,4
강동구,암사2동,1282,669,3999,146,275,123,414,6,16,6,3,0,1
강동구,암사3동,654,452,2059,133,192,47,135,2,7,4,0,2,1
강동구,천호1동,3377,1207,5257,317,416,210,626,16,18,8,4,3,3
강동구,천호2동,5536,3411,14608,1310,894,675,2287,14,56,16,9,2,3
강동구,천호3동,4252,1654,7153,510,510,335,993,21,24,11,10,7,3
강북구,미아동,4077,1487,6346,319,466,375,986,15,34,16,7,1,3
강북구,번1동,3984,1635,8932,386,523,365,1305,9,35,5,5,3,2
강북구,번2동,1981,491,3594,115,177,69,144,4,10,3,2,0,1
강북구,번3동,1675,482,2368,100,194,84,245,7,14,4,2,5,3
강북구,삼각산동,1879,598,2225,122,268,119,274,9,14,6,3,4,2
강북구,삼양동,2976,860,3276,201,335,131,261,11,6,5,7,3,2
강북구,송중동,4010,1737,7964,401,547,476,1811,21,30,17,5,6,3
강북구,송천동,4281,1845,7424,401,549,400,935,16,23,5,1,6,3
강북구,수유1동,3046,1265,4900,440,334,260,565,8,20,3,8,5,3
강북구,수유2동,2294,1051,3672,257,388,174,465,12,11,5,5,4,2
강북구,수유3동,4919,2378,9235,534,753,715,2228,25,42,14,16,4,4
강북구,우이동,2121,809,4077,189,204,315,876,12,44,7,1,6,1
강북구,인수동,3629,1198,5323,303,397,236,579,10,30,7,3,1,2
강서구,가양1동,9062,5012,48577,1255,1738,923,3961,22,129,21,9,6,2
강서구,가양2동,3281,518,3669,136,231,70,226,5,5,6,4,2,2
강서구,가양3동,2653,699,6927,223,239,47,198,3,6,3,0,2,1
강서구,공항동,3969,1835,35643,470,491,358,1528,9,30,15,6,3,3
강서구,등촌1동,4871,1665,15781,471,565,287,1056,14,40,11,5,0,3
강서구,등촌2동,1797,584,4939,147,222,105,282,6,18,6,3,3,2
강서구,등촌3동,4517,2341,20897,824,803,355,1831,18,45,14,6,7,4
강서구,발산1동,1783,2292,13819,994,709,284,1211,16,38,12,5,8,4
강서구,방화1동,3398,2207,10084,559,863,387,1149,28,40,21,10,7,4
강서구,방화2동,3879,1838,13711,708,458,329,1706,8,34,19,7,6,3
강서구,방화3동,3384,620,4518,146,237,97,311,8,14,6,2,0,1
강서구,염창동,2090,1922,16263,469,737,270,1096,16,40,16,7,7,4
강서구,우장산동,2507,1425,7833,301,685,203,649,12,27,15,6,4,2
강서구,화곡1동,8620,2606,10182,570,848,693,2021,23,41,16,15,7,4
강서구,화곡2동,2088,683,2689,309,216,67,149,3,9,2,3,1,1
강서구,화곡3동,2014,1034,4322,204,425,242,793,13,22,8,9,3,2
강서구,화곡4동,2579,1223,3548,407,391,250,549,18,23,2,8,3,2
강서구,화곡6동,2919,1608,10884,306,550,462,1593,12,26,4,10,5,3
강서구,화곡8동,2883,1057,3728,315,396,209,498,15,17,10,7,2,3
강서구,화곡본동,4717,1096,3931,265,416,262,668,13,22,7,6,7,3
관악구,낙성대동,5969,1184,7758,166,345,486,2159,11,59,8,3,2,1
관악구,난곡동,3558,672,2140,169,288,108,269,12,6,6,7,2,3
관악구,난향동,1226,293,1777,54,139,39,106,6,4,2,1,2,1
관악구,남현동,3282,803,4974,168,306,232,972,9,18,7,2,3,3
관악구,대학동,9687,1522,14381,169,566,645,1996,21,66,10,22,6,4
관악구,미성동,3625,1240,5226,309,431,212,616,16,21,7,2,4,3
관악구,보라매동,4392,1208,6447,452,336,246,668,15,23,9,2,5,4
관악구,삼성동,2857,732,2206,253,237,117,209,7,6,2,1,1,1
관악구,서림동,7148,716,2721,148,243,210,449,11,21,2,9,1,1
관악구,서원동,6435,1178,7380,302,361,399,1851,13,30,9,6,4,2
관악구,성현동,2744,636,2618,109,319,79,198,6,11,3,2,2,2
관악구,신림동,10468,1613,5811,312,494,599,1895,14,48,3,18,4,2
관악구,신사동,6172,1271,4579,326,421,227,543,12,13,6,8,1,2
관악구,신원동,4618,749,2286,205,247,167,354,13,9,5,4,3,3
관악구,은천동,4753,1345,6395,306,501,273,731,22,22,12,3,5,4
관악구,인헌동,6037,926,3776,219,339,212,594,16,26,7,4,2,3
관악구,조원동,4666,1644,6873,402,475,357,1027,15,30,4,7,2,3
관악구,중앙동,4685,885,4339,175,337,209,655,11,26,5,3,2,2
관악구,청룡동,10308,1733,10304,383,631,401,1297,21,41,9,10,7,4
관악구,청림동,1369,350,1228,59,169,62,153,4,12,4,2,3,3
관악구,행운동,8734,1314,6623,305,543,281,799,21,32,7,6,3,3
광진구,광장동,1441,1338,17165,331,508,220,1925,12,33,14,1,5,2
광진구,구의1동,4838,1703,7282,371,608,406,1042,21,38,11,9,3,3
광진구,구의2동,2634,1051,4677,260,352,237,618,12,22,12,6,3,3
광진구,구의3동,2851,2634,15824,1121,801,386,1488,16,43,19,8,3,4
광진구,군자동,5682,1443,9452,353,472,347,1114,16,45,8,6,7,4
광진구,능동,2909,735,5727,191,259,158,681,6,15,9,3,1,1
광진구,자양1동,4124,1517,8194,426,537,291,783,10,27,6,10,4,3
광진구,자양2동,2768,1201,6402,247,491,194,505,9,20,7,3,2,2
광진구,자양3동,1931,1143,5936,301,411,229,1028,8,37,16,2,3,2
광진구,자양4동,3750,1757,6527,489,526,438,1433,22,38,5,11,2,3
광진구,중곡1동,2827,1497,6572,439,360,260,574,11,24,6,6,3,3
광진구,중곡2동,3197,1482,6448,347,536,237,610,7,27,10,3,3,2
광진구,중곡3동,2740,1126,4909,260,325,211,489,7,24,7,7,1,3
광진구,중곡4동,3369,1241,4465,332,381,210,540,4,26,9,6,4,3
광진구,화양동,11276,2354,15979,421,739,940,4193,22,109,23,12,2,4
구로구,가리봉동,2413,884,2878,222,277,264,478,3,2,1,9,1,1
구로구,개봉1동,3146,1406,5055,382,494,294,775,17,22,14,6,10,4
구로구,개봉2동,2094,911,3078,198,399,168,510,10,23,6,4,2,3
구로구,개봉3동,1676,787,6138,197,298,144,280,12,19,6,5,1,3
구로구,고척1동,1910,2325,9337,732,446,309,1004,19,26,7,7,4,3
구로구,고척2동,2629,1138,3641,332,403,190,440,16,22,8,2,3,3
구로구,구로1동,1258,566,3009,131,231,80,246,4,6,2,3,4,1
구로구,구로2동,4070,7466,29034,4765,884,588,1518,14,37,9,7,4,4
구로구,구로3동,6233,7346,87413,1640,3413,786,3650,20,103,18,5,3,4
구로구,구로4동,3323,1892,5253,566,655,439,953,14,17,6,9,5,3
구로구,구로5동,4996,3508,25863,1425,967,543,1943,13,47,15,7,6,4
구로구,수궁동,1706,934,5512,211,309,150,367,14,20,7,6,4,2
구로구,신도림동,1921,2705,15430,739,676,310,1814,19,39,18,2,5,4
구로구,오류1동,3614,943,4335,267,347,204,625,13,12,4,4,3,2
구로구,오류2동,3162,1172,7524,293,464,195,575,18,19,8,2,10,4
금천구,가산동,7330,15111,164042,4345,5426,1171,5172,29,198,21,7,2,4
금천구,독산1동,6762,3747,24575,1026,909,436,1411,20,39,12,6,3,4
금천구,독산2동,2864,953,3279,232,318,172,399,9,12,2,6,4,2
금천구,독산3동,3833,1856,6237,480,528,330,683,12,16,5,10,6,3
금천구,독산4동,2334,859,3123,174,251,201,657,10,12,2,3,1,2
금천구,시흥1동,4255,2716,13831,728,850,611,1736,26,37,17,9,5,4
금천구,시흥2동,1402,333,1764,70,176,39,103,3,9,2,0,1,1
금천구,시흥3동,968,3058,9942,1690,314,122,279,6,6,4,1,3,2
금천구,시흥4동,2127,545,1714,120,228,84,163,8,2,2,4,2,1
금천구,시흥5동,2689,921,3132,226,351,184,430,19,14,4,7,2,2
노원구,공릉1동,6678,2371,11604,603,824,492,1463,22,68,17,6,6,4
노원구,공릉2동,4269,1427,11524,258,582,367,1214,25,65,21,12,9,4
노원구,상계10동,1289,303,2100,55,175,30,130,2,5,1,1,1,1
노원구,상계1동,3138,1599,9128,375,616,356,1204,24,42,8,8,14,4
노원구,상계2동,2307,2461,10414,828,720,638,2587,27,62,18,9,7,4
노원구,상계3·4동,3193,919,3489,216,356,189,355,10,17,5,3,3,2
노원구,상계5동,3012,1366,4467,350,518,236,480,14,20,9,7,4,3
노원구,상계6·7동,3103,1656,15545,299,719,311,1550,21,23,12,6,5,4
노원구,상계8동,1599,403,1745,83,215,55,149,2,7,4,1,2,1
노원구,상계9동,1500,462,2242,111,229,60,194,7,7,2,1,4,3
노원구,월계1동,3494,1219,6168,262,420,331,983,18,37,8,10,2,3
노원구,월계2동,3075,478,2882,109,198,85,226,9,15,4,0,3,2
노원구,월계3동,2890,594,3842,163,249,95,312,9,15,10,1,6,3
노원구,중계1동,949,829,4308,153,456,127,558,7,19,9,2,4,3
노원구,중계2·3동,3657,1035,5248,474,309,163,936,12,17,13,0,3,3
노원구,중계4동,1830,853,3668,192,334,235,636,17,17,5,5,8,3
노원구,중계본동,1114,1017,5260,165,521,190,572,18,30,4,5,4,2
노원구,하계1동,2935,950,7517,290,317,192,796,12,24,5,2,2,2
노원구,하계2동,1248,236,1125,45,107,39,98,5,2,2,2,2,1
도봉구,도봉1동,2752,1418,5749,359,416,340,854,12,21,4,5,5,2
도봉구,도봉2동,2601,1128,6307,261,459,207,483,10,22,7,2,2,2
도봉구,방학1동,3163,2008,13164,503,680,484,1380,30,34,17,14,0,3
도봉구,방학2동,2432,946,2763,292,282,164,361,10,11,6,3,2,1
도봉구,방학3동,1248,539,3166,104,241,96,344,11,15,4,0,5,2
도봉구,쌍문1동,2220,621,3571,143,228,131,403,12,27,6,1,5,3
도봉구,쌍문2동,2152,1048,5417,245,422,199,628,11,17,8,10,4,3
도봉구,쌍문3동,2427,853,3992,258,270,160,443,12,16,5,3,4,2
도봉구,쌍문4동,1090,434,1943,91,243,48,148,5,5,1,2,5,1
도봉구,창1동,2612,835,3583,198,331,157,517,6,17,9,4,3,3
도봉구,창2동,2542,1051,4086,263,346,172,401,19,16,9,8,6,4
도봉구,창3동,1763,715,1985,201,209,152,299,9,9,5,0,0,2
도봉구,창4동,1984,1092,7162,272,448,197,616,14,12,10,5,0,2
도봉구,창5동,1862,1223,6442,264,520,244,1029,14,38,11,7,3,3
동대문구,답십리1동,3218,1594,6934,618,449,197,544,10,21,6,5,2,3
동대문구,답십리2동,2864,1898,7320,895,440,207,571,8,15,7,8,4,3
동대문구,용신동,6672,5210,30607,2141,919,708,2019,16,69,10,6,6,4
동대문구,이문1동,7024,1246,6607,249,406,416,1122,23,54,9,13,1,3
동대문구,이문2동,2290,530,2177,113,193,101,260,6,13,4,1,3,2
동대문구,장안1동,4807,4102,20358,1436,908,550,1730,21,43,11,12,10,4
동대문구,장안2동,2774,2727,11264,777,739,535,1819,21,40,13,6,9,4
동대문구,전농1동,5262,1996,7630,741,477,422,1536,18,40,12,7,4,4
동대문구,전농2동,1562,727,4894,173,315,131,406,8,16,5,2,2,2
동대문구,제기동,4886,4525,12973,2794,573,516,1228,18,29,10,6,9,4
동대문구,청량리동,3121,1500,8395,421,519,317,818,15,19,5,7,5,3
동대문구,회기동,3773,970,10041,200,276,417,1400,11,49,12,10,4,3
동대문구,휘경1동,3090,881,3742,224,284,218,666,10,18,5,4,4,2
동대문구,휘경2동,4250,607,4441,141,209,128,328,12,24,5,3,2,2
동작구,노량진1동,4912,1864,8865,406,584,658,2156,21,83,17,19,6,3
동작구,노량진2동,2906,1697,7396,993,266,297,788,12,29,5,6,2,1
동작구,대방동,5371,1506,14523,328,666,267,973,18,28,15,5,7,4
동작구,사당1동,5514,1693,10312,331,589,419,1295,13,43,14,5,2,3
동작구,사당2동,2789,1519,6484,375,562,390,1320,22,29,13,6,7,4
동작구,사당3동,2367,841,4206,181,363,138,386,10,20,4,1,3,2
동작구,사당4동,2262,575,1718,162,222,96,193,7,8,8,3,4,2
동작구,사당5동,1670,399,1564,80,174,58,152,4,13,0,1,2,1
동작구,상도1동,7759,1512,8559,305,574,416,1285,29,55,19,13,5,4
동작구,상도2동,3694,1264,5100,306,483,249,738,12,22,14,4,5,4
동작구,상도3동,3720,799,2990,209,293,152,442,11,15,6,7,3,2
동작구,상도4동,3750,722,2767,170,289,146,389,11,21,2,2,5,2
동작구,신대방1동,2713,963,4002,230,390,169,468,11,12,6,5,4,2
동작구,신대방2동,3129,1145,21261,199,454,269,1072,6,33,12,3,2,2
동작구,흑석동,4316,1414,10825,289,455,417,1473,17,45,21,7,4,3
마포구,공덕동,5513,2605,19349,546,932,471,1476,21,47,11,5,3,4
마포구,대흥동,3541,1511,10187,265,602,387,1163,16,52,12,6,2,3
마포구,도화동,2433,1999,16348,462,790,382,1793,16,33,7,2,6,4
마포구,망원1동,3531,1367,4436,347,410,390,1040,13,61,16,2,2,1
마포구,망원2동,2076,1223,4796,287,449,235,610,19,38,13,3,4,3
마포구,상암동,3422,2236,41432,334,943,673,2960,21,116,24,3,4,2
마포구,서강동,4192,1698,11664,339,607,527,1617,14,77,26,5,4,4
마포구,서교동,7365,9880,62110,2165,3815,2718,11980,57,442,94,20,11,4
마포구,성산1동,3112,1436,11575,339,593,209,648,6,32,8,3,0,2
마포구,성산2동,5665,1492,12059,483,535,242,731,15,29,10,1,4,4
마포구,신수동,2915,1070,5557,244,406,180,486,13,21,10,0,3,3
마포구,아현동,2050,1615,11944,429,646,229,925,11,26,10,2,5,3
마포구,연남동,3772,1754,6761,321,531,713,1889,9,145,34,1,3,2
마포구,염리동,1719,658,4342,137,256,161,574,8,20,10,0,1,1
